id,benchmark,setting,accuracy,accuracy_stderr,timestamp,metadata
01-ai/Yi-34B,arc:challenge_25-shot,25-shot,0.6160409556313993,0.0142124449806518,2024-11-12 14:02:03.863874,
01-ai/Yi-34B-200K,arc:challenge_25-shot,25-shot,0.6212,,2024-11-12 14:02:03.863874,
01-ai/Yi-9B,arc:challenge_25-shot,25-shot,0.5683,,2024-11-12 14:02:03.863874,
AbacusResearch/Jallabi-34B,arc:challenge_25-shot,25-shot,0.6348122866894198,0.0140702655192688,2024-11-12 14:02:03.863874,
AbacusResearch/RasGulla1-7b,arc:challenge_25-shot,25-shot,0.659556313993174,0.0138474605188929,2024-11-12 14:02:03.863874,
CohereForAI/c4ai-command-r-plus,arc:challenge_25-shot,25-shot,0.659556313993174,0.0138474605188929,2024-11-12 14:02:03.863874,
CohereForAI/c4ai-command-r-v01,arc:challenge_25-shot,25-shot,0.64419795221843,0.0139905711379187,2024-11-12 14:02:03.863874,
Dampish/StellarX-4B-V0,arc:challenge_25-shot,25-shot,0.3233788395904436,0.0136694216300121,2024-11-12 14:02:03.863874,
Deci/DeciCoder-1b,arc:challenge_25-shot,25-shot,0.1604095563139931,0.0107243360591109,2024-11-12 14:02:03.863874,
EleutherAI/gpt-j-6b,arc:challenge_25-shot,25-shot,0.3686006825938566,0.0140978106780421,2024-11-12 14:02:03.863874,
EleutherAI/gpt-neo-1.3B,arc:challenge_25-shot,25-shot,0.2713310580204778,0.0129938077275457,2024-11-12 14:02:03.863874,
EleutherAI/gpt-neo-2.7B,arc:challenge_25-shot,25-shot,0.310580204778157,0.013522292098053,2024-11-12 14:02:03.863874,
EleutherAI/gpt-neox-20b,arc:challenge_25-shot,25-shot,0.4266211604095563,0.0144531855929202,2024-11-12 14:02:03.863874,
EleutherAI/pythia-1.4b-deduped,arc:challenge_25-shot,25-shot,0.295221843003413,0.0133297502933823,2024-11-12 14:02:03.863874,
EleutherAI/pythia-12b,arc:challenge_25-shot,25-shot,0.3737201365187713,0.014137708601759,2024-11-12 14:02:03.863874,
EleutherAI/pythia-12b-deduped,arc:challenge_25-shot,25-shot,0.378839590443686,0.0141759154900003,2024-11-12 14:02:03.863874,
EleutherAI/pythia-160m,arc:challenge_25-shot,25-shot,0.1902730375426621,0.0114704241792256,2024-11-12 14:02:03.863874,
EleutherAI/pythia-160m-deduped,arc:challenge_25-shot,25-shot,0.2056313993174061,0.0118107452607425,2024-11-12 14:02:03.863874,
EleutherAI/pythia-1b-deduped,arc:challenge_25-shot,25-shot,0.2645051194539249,0.0128892729493133,2024-11-12 14:02:03.863874,
EleutherAI/pythia-2.8b-deduped,arc:challenge_25-shot,25-shot,0.325938566552901,0.0136974324666932,2024-11-12 14:02:03.863874,
EleutherAI/pythia-410m,arc:challenge_25-shot,25-shot,0.2312286689419795,0.0123208588347722,2024-11-12 14:02:03.863874,
EleutherAI/pythia-410m-deduped,arc:challenge_25-shot,25-shot,0.2261092150170648,0.0122242020970632,2024-11-12 14:02:03.863874,
EleutherAI/pythia-6.9b-deduped,arc:challenge_25-shot,25-shot,0.3728668941979522,0.0141311767601311,2024-11-12 14:02:03.863874,
